,activityName,exitId,avaliable
158,com.taobao.trip.onlinevisa.OnlineVisaHomeRouterActivity,0,0
159,com.taobao.trip.onlinevisa.form.OnlineVisaFromInfoActivity,0,0
160,com.taobao.trip.onlinevisa.facedetect.FaceDetectIntroductionActivity,0,0
161,com.taobao.trip.onlinevisa.facedetect.VisaPhotoPreviewActivity,0,0
162,com.taobao.trip.onlinevisa.applicationinfo.BiometricResultActivity,0,0
163,com.taobao.trip.onlinevisa.form.ocrcheck.OcrInforCheckActivity,0,0
164,com.taobao.trip.onlinevisa.facedetect.FaceDetectManualResultActivity,0,0
165,com.taobao.trip.onlinevisa.facedetect.FaceDetectResultEnsureActivity,0,0
166,com.taobao.trip.onlinevisa.checkapplicationform.CheckApplicationFormActivity,0,0
167,com.taobao.trip.onlinevisa.facedetect.facedetector.FaceDetectActivity,0,0
168,com.taobao.trip.onlinevisa.facedetect.facedetector.IdCardCropActivity,0,0
169,com.taobao.trip.onlinevisa.geniusscan.MainScanActivity,0,0
170,com.taobao.trip.onlinevisa.geniusscan.processing.BorderDetectionActivity,0,0
171,com.taobao.trip.onlinevisa.geniusscan.enhance.ImageProcessingActivity,0,0
172,com.taobao.trip.scancode.ui.ScanOcrActivity,0,0
173,com.taobao.trip.scancode.ui.ScanHomeActivity,0,0
174,com.taobao.trip.scancode.ui.ScanHistoryActivity,0,0
175,com.taobao.trip.scancode.ui.ScanHelperActivity,0,0
176,com.taobao.trip.scancode.ui.ScanArH5Activity,0,0
177,com.taobao.trip.share.ShareNewActivity,0,0
178,com.taobao.trip.apshare.ShareEntryActivity,0,0
179,com.taobao.trip.wxapi.WXEntryActivity,0,0
180,com.taobao.trip.share.ui.ShareHomeActivity,0,0
181,com.taobao.trip.share.ui.ShareQrCodeActivity,0,0
182,com.taobao.trip.share.ui.ShareCaptureActivity,0,0
183,com.taobao.trip.share.ui.SharePasswordActivity,0,0
184,com.taobao.trip.share.ui.ShowPasswordActivity,0,0
185,com.taobao.trip.share.ui.ShareTaoPwdActivity,0,0
186,com.taobao.trip.share.ui.ShareWechatImageActivity,0,0
187,com.taobao.trip.share.ShareExternalImageActivity,0,0
188,com.taobao.trip.share.ShareExternalTextActivity,0,0
189,com.taobao.trip.share.ui.ShareLongFigureActivity,0,0
190,com.taobao.trip.streamervideo.record.MovieRecorderActivity,0,0
191,com.taobao.trip.train.ui.main.TrainMainActivity,0,0
192,com.taobao.trip.train.ui.post.TrainPostMainActivity,0,0
193,com.taobao.trip.train.ui.list.TrainListActivity,0,0
194,com.taobao.trip.train.traindetail.TrainDetailPageActivity,0,0
195,com.taobao.trip.train.ui.TrainCreateOrderActivity,0,0
196,com.taobao.trip.train.ui.TrainTransitCreateOrderActivity,0,0
197,com.taobao.trip.train.ui.TrainCreateOrderActivityActivity,0,0
198,com.taobao.trip.train.ui.TrainOrderDetailActivity,0,0
199,com.taobao.trip.train.ui.TrainOrderDetailRefundTrackActivity,0,0
200,com.taobao.trip.train.ui.passengerlist.TrainPassengerListActivityNew,0,0
201,com.taobao.trip.train.ui.TripAddressListActivity,0,0
202,com.taobao.trip.train.ui.TripEditAddressActivity,0,0
203,com.taobao.trip.train.ui.TripAddressWheelActivity,0,0
204,com.taobao.trip.train.ui.TrainCreateOrderPostSeatSelectActivity,0,0
205,com.taobao.trip.train.ui.TrainParentListActivity,0,0
206,com.taobao.trip.train.ui.TrainRefundAndTicketActivity,0,0
207,com.taobao.trip.train.ui.TrainRescheduleListActivity,0,0
208,com.taobao.trip.train.ui.TrainTicketRescheduleApplyActivity,0,0
209,com.taobao.trip.train.ui.TrainRescheduleAndChangeActivity,0,0
210,com.taobao.trip.train.ui.TrainMiddleStationActivity,0,0
211,com.taobao.trip.train.grab.TrainGrabTaskListActivity,0,0
212,com.taobao.trip.train.grab.TrainGrabMainActivity,0,0
213,com.taobao.trip.train.grab.TrainGrabSelectTrainActivity,0,0
214,com.taobao.trip.train.grab.TrainGrabNightCloseActivity,0,0
215,com.taobao.trip.train.grab.TrainGrabSelectSeatActivity,0,0
216,com.taobao.trip.train.grab.TrainGrabSelectTimeActivity,0,0
217,com.taobao.trip.train.grab.TrainGrabRecommendTrainSeatActivity,0,0
218,com.taobao.trip.train.grab.TrainGrabPaySuccessActivity,0,0
219,com.taobao.trip.train.ui.Train12306PassengerListActivity,0,0
220,com.taobao.trip.train.ui.Train12306ManagementActivity,0,0
221,com.taobao.trip.train.ui.Train12306PassengerEditActivity,0,0
222,com.taobao.trip.train.ui.TrainLogisticsActivity,0,0
223,com.taobao.trip.train.ui.TrainPriceDetailActivity,0,0
224,com.taobao.trip.train.ui.TrainWheelSelectActivity,0,0
225,com.taobao.trip.train.ui.TrainOrderActivityActivity,0,0
226,com.taobao.trip.train.ui.TrainTicketRescheduleApplyThomasActivity,0,0
227,com.taobao.trip.train.ui.TrainUserCenterPassengerEditActivity,0,0
228,com.taobao.trip.train.ui.TrainTransitDetailsPageActivity,0,0
229,com.taobao.trip.train.ui.TrainTransitListActivity,0,0
230,com.taobao.trip.train.ui.login.ui.Train12306Activity,0,0
231,com.taobao.trip.train.ui.cityselection.TrainCitySelectionActivity,0,0
232,com.taobao.trip.train.ui.calendar.TrainCalendarActivity,0,0
233,com.taobao.trip.train.grab.TrainGrabToPayActivity,0,0
234,com.taobao.trip.train.grab.TrainGrabToPayActivity,0,0
235,com.taobao.trip.train.grab.TrainGrabSpeedChoiceActivity,0,0
236,com.taobao.trip.train.traindetail.TrainDetailCrossStationListActivity,0,0
237,com.taobao.trip.usercenter.ordercenter.UserCenterStepHotelOrderActivity,0,0
238,com.taobao.trip.usercenter.ui.UserCenterSettingActivity,0,0
239,com.taobao.trip.usercenter.ui.UserCenterAboutUsActivity,0,0
240,com.taobao.trip.usercenter.ordercenter.UserCenterOrderTypeListActivity,0,0
241,com.taobao.trip.usercenter.collection.fragment.UserCenterCollectionActivity,0,0
242,com.taobao.trip.usercenter.commoninfos.UserCenterAddContactActivity,0,0
243,com.taobao.trip.usercenter.commoninfos.UserCenterAddInvoiceActivity,0,0
244,com.taobao.trip.usercenter.commoninfos.UserCenterAddAddressActivity,0,0
245,com.taobao.trip.usercenter.commoninfos.UserCenterCommonInfoHomeActivity,0,0
246,com.taobao.trip.usercenter.commoninfos.passenger.UserCenterPassengerAddActivity,0,0
247,com.taobao.trip.usercenter.commoninfos.UserCenterPassengerMergeListActivity,0,0
248,com.taobao.trip.usercenter.commoninfos.UserCenterPassengerMergeEditActivity,0,0
249,com.taobao.trip.vacation.ui.fragment.VacationWebviewActivity,0,0
250,com.taobao.trip.vacation.ui.shop.WeAppActivity,0,0
251,com.taobao.trip.vacation.ui.shop.WeAppWebviewActivity,0,0
252,com.taobao.trip.vacation.VacationRouterActivity,0,0
253,com.taobao.trip.vacation.wrapper.VacationDetailActivity,0,0
254,com.taobao.trip.wangxin.ui.WangXinMainActivity,0,0
255,com.taobao.trip.wangxin.ui.WangXinChatListActivity,0,0
256,com.taobao.trip.wangxin.ui.WangXinChatActivity,0,0
257,com.taobao.trip.wangxin.ui.CustomTribeQRCodeActivity,0,0
258,com.taobao.trip.wangxin.ui.CustomTribeInfoActivity,0,0
259,com.taobao.trip.wangxin.ui.CustomWxChattingActivity,0,0
